ID,ParentID,Radial distance,Angle,Cluster size,Species,Cue,Observer,CSLow,CSHigh,OnWater,Aspect,Sightability,KWTransRes
436,28,315.3153153,43,1,HS,1,oa,1,1,w,3,1,
437,28,291.1448033,49,1,HS,1,oa,1,1,w,3,1,
438,28,31,62,1,HS,1,rw,1,1,w,3,1,
439,28,157.3794492,83,1,HS,1,rw,1,1,w,1,1,
440,28,137.3324544,90,1,HS,1,oa,1,1,w,3,1,
441,28,1346.469622,90,6,HS,1,ne,6,6,l,5,1,
442,28,1088.763744,90,5,HS,1,hs,5,5,w,5,1,
443,28,43.00484948,90,1,HS,1,rw,1,1,w,3,1,
444,29,850,4,1,HS,2,rw,1,1,w,5,1,
445,29,546.4962539,23,1,HS,1,sh,1,1,w,3,1,
446,29,181.0136766,61,1,HS,1,hs,1,1,w,4,2,
447,29,75,71,1,HS,1,oa,1,1,w,4,3,
448,29,41.74906614,79,1,HS,1,oa,1,1,w,2,2,
449,29,146,90,1,HS,1,rw,1,1,w,3,1,
450,30,175,35,1,HP,1,e,1,1,w,1,2,
481,33,480,4,1,HS,1,NE,1,1,w,5,2,
482,33,180.6239737,4,1,HS,1,ne,1,1,w,3,2,
483,33,1067.323481,28,3,HP,1,NE,3,3,w,2,2,
484,33,492.6108374,63,1,HP,1,NE,1,1,w,2,2,
485,33,272,64,1,HS,1,HS,1,1,w,3,2,
486,33,498.7932422,69,2,DP,1,HS,2,2,w,2,2,
487,33,724.0547064,81,1,HP,1,HS,1,1,w,4,2,
488,33,131,83,5,HS,1,HS,5,5,w,5,2,
489,33,223,135,1,HS,1,hs,1,1,w,5,2,
490,34,44,0,1,G,1,rw,,,w,,3,
491,34,820,8,1,M,1,hs,1,1,w,2,2,
492,34,285.5993564,26,1,HS,1,hs,1,1,w,3,1,
493,34,109.7996157,32,1,HS,1,rw,1,1,w,2,2,
494,34,462.5905068,37,1,hs,1,hs,1,1,w,3,2,
495,34,36.5998719,40,1,HP,1,rw,1,1,w,2,3,
496,34,747.088552,54,12,hs,1,oa,12,17,l,5,2,
497,34,829.4880246,59,11,HS,1,oa,10,15,l,5,1,
498,34,791.0349374,72,4,HS,1,oa,3,6,l,5,1,
499,34,1196.031108,74,11,HS,1,hs,11,15,l,5,1,
500,34,233.3065165,74,3,hs,1,hs,3,4,w,5,2,
501,34,240.0107267,74,3,hs,1,hs,3,4,l,5,2,
502,34,250.4943968,83,1,HS,1,oa,1,1,w,1,1,
503,34,24.2397532,90,1,G,1,sh,,,w,,3,
504,34,49.58131335,90,1,G,6,sh,,,w,,3,
505,34,43,90,1,G,6,sh,,,w,,3,
506,34,5,90,1,G,6,hs,,,w,,3,
507,34,16,90,1,G,6,hs,,,w,,3,
508,34,8.234971178,90,1,G,6,rw,,,w,,3,
509,35,593.276203,3,1,HP,1,oa,1,1,w,2,1,
510,35,576,11,1,HS,1,rw,1,1,l,1,2,
541,43,64.04977583,90,1,HS,1,RW,1,1,w,3,1,
542,44,68.62475981,28,1,G,1,RW,1,1,w,,1,
543,45,71.41287629,78,1,G,1,OA,1,1,w,,1,
544,46,758,0,2,HS,1,OA,2,2,l,5,1,
545,46,98,11,1,G,6,RW,,,w,,1,
546,46,271,36,1,HS,1,RW,1,1,l,5,1,
547,46,448,41,2,HS,1,RW,2,2,l,5,1,
548,46,388,42,5,HS,1,OA,5,5,l,5,1,
549,46,484,48,1,HS,1,RW,1,1,l,5,1,
550,46,384,49,1,HS,1,OA,1,1,w,2,1,
551,46,363,61,1,HS,1,OA,1,1,l,5,1,
552,46,415.4085461,87,1,HS,1,RW,1,1,l,5,1,
553,46,458,90,1,HS,1,RW,1,1,w,1,1,
554,47,3448.275862,9,2,H,3,NE,2,2,w,2,1,
555,47,3284.07225,9,2,H,1,NE,2,2,w,1,1,
556,47,3448.275862,90,1,H,3,NE,1,1,w,1,1,
557,47,275,90,8,SSL,1,RW,8,8,l,5,1,
558,47,270,90,5,SSL,1,RW,5,6,w,3,1,
559,47,170,90,3,SSL,1,RW,2,4,w,3,1,
560,48,225,0,2,HS,1,RW,2,2,l,5,1,
561,48,3119.868637,47,1,H,1,NE,1,1,w,1,1,
562,48,3000,86,1,H,3,NE,1,1,w,1,1,
563,49,853,34,1,H,3,HS,1,1,w,4,1,
564,50,1021.753461,11,5,H,3,OA,2,6,w,1,4,
565,50,538.5878489,30,1,G,6,NE,,,w,,2,
566,50,1355.222565,31,2,HS,1,SH,2,3,l,2,2,
567,50,1239.737274,58,5,HS,1,NE,5,6,l,3,2,
568,50,4.926108374,90,1,G,6,NE,,,w,,2,
569,51,1555.494556,81,1,H,3,RW,1,1,w,2,2,
570,52,740,47,1,HS,1,HS,1,1,w,2,1,
601,65,431,90,6,HS,2,rw,6,6,w,5,1,
602,66,329,90,2,HS,2,rw,2,2,w,4,1,
603,66,129.7208539,90,1,G,1,ne,,,w,,2,
604,67,344,33,9,HS,1,ne,8,9,l,5,2,
605,67,558.2922824,33,5,HS,1,ne,4,5,w,3,2,
606,67,209,76,1,HS,1,E,1,1,w,3,2,
607,68,244,3,1,hs,1,rw,1,1,w,3,2,
608,68,133,57,1,hs,1,sh,1,1,w,3,2,
609,69,104.3096349,8,1,HS,1,RW,1,1,w,3,1,
610,69,138,20,2,hs,1,ne,2,2,w,3,1,
611,69,117,40,2,HS,1,RW,2,2,l,5,1,
612,69,985.2216749,63,1,HS,1,NE,1,1,w,3,1,
613,70,303,4,2,HS,1,NE,2,2,w,3,1,
614,70,157,9,1,hp,1,rw,1,2,w,1,1,
615,70,505.3834322,21,1,HS,1,OA,1,1,w,2,1,
616,70,461.4370468,26,1,HS,1,OA,1,1,l,5,1,
617,70,349.373764,33,1,hs,1,oa,1,1,w,1,1,
618,70,417.4906614,36,1,hs,1,oa,1,1,w,1,1,
619,70,329.5978906,49,7,hs,1,oa,7,7,w,5,1,
620,70,878.9277082,81,4,hs,1,oa,4,5,l,5,1,
621,70,427,90,3,HS,1,RW,3,3,l,5,1,
622,70,116,90,2,HS,1,RW,2,2,l,5,1,
623,71,153,90,1,HS,1,NE,1,1,w,2,1,
624,72,947.5539885,5,6,HS,1,sh,6,6,l,5,1,
625,72,72,28,1,HS,1,ne,1,2,l,1,1,
626,72,947.5539885,38,1,HS,1,sh,1,1,l,5,1,
627,72,394.08867,44,3,HS,1,ne,3,3,w,5,1,
628,72,826.3552226,45,2,HS,1,sh,1,2,l,5,1,
629,72,575,54,9,HS,1,ne,9,10,l,5,1,
630,72,176.2891141,90,1,HS,1,sh,1,1,w,2,1,
661,81,421,57,1,HS,1,HS,1,1,w,1,1,
662,81,167,65,1,hs,1,hs,1,2,l,5,1,
663,81,451.5599343,90,2,hs,1,ne,2,3,l,5,1,
664,81,753.5532314,90,2,HS,1,HS,2,2,l,5,1,
665,81,146,90,1,G,6,NE,,,w,,2,
666,82,1006.496477,9,8,hs,1,rw,8,12,l,5,1,
667,82,475.7983347,18,3,hs,1,rw,3,3,l,5,1,
668,82,281.5768302,36,1,HS,1,HS,1,1,w,2,2,
669,82,450.4504505,58,2,hs,1,oa,2,2,l,5,1,
670,83,494.3968359,35,2,HS,1,oa,1,3,w,5,2,
671,83,20,58,1,HS,1,HS,1,1,w,1,2,
672,83,85.81389112,73,1,HS,1,HS,1,1,w,1,2,
673,83,227.4225445,73,2,HP,1,OA,2,2,w,2,2,
674,83,120.8525599,87,1,HS,1,OA,1,1,w,3,2,
675,84,486,4,4,HS,1,SH,4,4,w,3,2,
676,84,56,24,1,HS,1,RW,1,1,w,3,2,
677,84,108,54,2,HS,1,RW,2,2,w,1,2,
678,84,412,60,1,HS,1,rw,1,1,w,1,2,
679,84,192.8162186,66,1,HS,1,SH,1,1,w,1,2,
680,84,82.63552226,75,1,HS,1,sh,1,1,w,2,2,
681,84,402,81,2,HS,1,rw,2,2,w,3,2,
682,85,192,24,1,HS,1,HS,1,1,w,2,2,
683,85,72,90,1,HS,2,NE,1,1,w,5,2,
684,86,517.8492728,0,5,DP,1,SH,4,6,w,2,2,
685,86,20,22,4,DP,1,RW,3,4,w,2,2,
686,86,341.5601587,24,3,DP,1,SH,3,4,w,2,2,
687,87,1377.258704,42,3,KW,3,SH,1,4,w,2,1,R
688,88,738.9162562,90,4,DP,1,NE,4,4,w,1,1,
689,89,2.744990393,90,1,G,6,RW,1,1,w,,1,
690,90,278,78,1,HS,1,SH,1,1,w,1,1,
271,15,43.91984628,0,1,g,6,rw,,,w,,4,
272,15,310,3,1,DP,1,RW,1,2,w,2,2,
273,15,2093.43323,12,1,H,3,SH,1,1,w,2,2,
274,15,131.8391562,25,1,G,6,OA,,,w,,2,
275,15,1200,38,1,H,2,MM,1,2,w,3,2,
276,15,800,50,5,KW,3,NE,5,5,w,2,2,T
277,15,7.31997438,80,1,g,6,rw,,,w,,4,
278,15,36.5998719,90,1,g,6,rw,,,w,,4,
279,15,146.3994876,90,2,DP,1,RW,2,3,w,2,2,
280,15,936.5359189,90,1,H,3,SH,1,1,w,1,2,
281,15,63.13477903,90,1,g,6,rw,,,w,,4,
282,15,46.65484744,90,2,dp,1,mm,2,2,w,2,4,
283,15,3.65998719,90,1,g,6,rw,,,w,,4,
284,16,322,2,1,hs,1,rw,1,1,w,3,2,
285,16,535,5,1,hs,1,oa,1,1,l,5,1,
286,16,251.6241193,9,4,dp,1,rw,4,5,w,2,2,
